date,is_weekend,bank_holiday_flag,dayofweek,month,dayofyear,staffing_level_fte,channel_mix_index,backlog_days,media_mentions,forecast_recovered_complaints
2026-01-01,0,1,3,1,1,45.70435944021884,49.39955265483714,11.58907312267605,1.9677655793896458,112.35467196694316
2026-01-02,0,0,4,1,2,45.85798701680615,45.1054464090991,11.552134648707211,1.7594180050268073,108.60914997067793
2026-01-03,1,0,5,1,3,46.80246876248755,43.06028950178994,12.452138299948745,1.6939958937874227,114.54855895173776
2026-01-04,1,0,6,1,4,47.14606956695316,42.95294416973168,12.25797095815292,1.873025257052584,110.75919022912427
2026-01-05,0,0,0,1,5,45.57654822225094,43.25513403321481,12.627792081958118,1.8897345107111414,122.40810905224885
2026-01-06,0,0,1,1,6,44.77592306680209,42.37095077745551,12.060158509896459,1.8451977493531533,115.29621391228125
2026-01-07,0,0,2,1,7,44.6024915760845,41.14370315111174,11.713723419910618,1.9468089802235542,103.99641484529644
2026-01-08,0,0,3,1,8,45.47854755085555,42.4647559222474,11.597421766087496,1.7968292766793565,109.39857988646196
2026-01-09,0,0,4,1,9,45.79203123694097,40.09003691372786,11.443970220366804,1.7866401050653034,94.87317012473082
2026-01-10,1,0,5,1,10,46.778180512557654,44.745820368283105,12.144329268776085,1.704050403879027,104.91100501513088
2026-01-11,1,0,6,1,11,47.17139823648809,43.3309317076246,11.67218463866088,1.7584032870053852,111.5728266880746
2026-01-12,0,0,0,1,12,45.48164864795296,45.885924173359825,12.346862375405784,1.8361519094169543,117.3044103371187
2026-01-13,0,0,1,1,13,44.56942818226268,48.71416579129146,11.856869391796959,1.8753832163588942,109.9555371768781
2026-01-14,0,0,2,1,14,44.752117915882906,53.03925732317349,11.724221527604008,1.7792099045241012,104.76411672896545
2026-01-15,0,0,3,1,15,45.43561427050781,49.78475164220252,11.302056018069813,1.7419644310868148,101.23109481552464
2026-01-16,0,0,4,1,16,45.85062347813576,53.66312600242331,11.164270499532202,1.7828772906289463,107.34648559229481
2026-01-17,1,0,5,1,17,46.71194498544928,53.42932269752688,11.85156701114579,1.7028799720968717,107.82551114152264
2026-01-18,1,0,6,1,18,47.20599224383412,54.86644803962751,11.708385872804167,1.7051044270154736,106.04366597783846
2026-01-19,0,0,0,1,19,45.21561145814495,55.76546919849214,12.007534825125902,1.7819422631118702,117.73985658813172
2026-01-20,0,0,1,1,20,44.705562631059784,55.699514177009846,11.698806920971787,1.7659301796021558,110.77122771929183
2026-01-21,0,0,2,1,21,44.693393550182954,56.531530450344974,11.38263503755344,1.7252321543602132,104.70758726904563
2026-01-22,0,0,3,1,22,45.346383209688604,55.67486269587169,11.218490690668993,1.7402651114674814,102.15953687185386
2026-01-23,0,0,4,1,23,45.771636741989596,57.879348253433655,11.037584395065469,1.7491251032659572,98.54118863343022
2026-01-24,1,0,5,1,24,46.65042416383071,56.12027711536285,11.725913285965174,1.6942906699870672,104.76596741979853
2026-01-25,1,0,6,1,25,47.17804632254421,55.93170820345057,11.359072916367882,1.6256295941134709,106.04709147883537
2026-01-26,0,0,0,1,26,45.1343965085408,54.284944451438804,11.930355777672442,1.7766617530311484,112.47749374819736
2026-01-27,0,0,1,1,27,44.5687023338254,52.88763796560523,11.541105776078886,1.73701998937396,110.83499841380214
